Партія,Тип внескодавця,Дата надходження внеску,Номер розрахункового документа,Найменування платника,Місцезнаходження платника,Код платника (ЄДРПОУ),Сума (грн)
Голос,гроші партії,2019-06-25,6,Політична партія “Голос”,"м. Київ, вул. Жилянська, буд. 75",39651598,15000000
Голос,гроші партії,2019-06-26,7,Політична партія “Голос”,"м. Київ, вул. Жилянська, буд. 75",39651598,5000000
Голос,гроші партії,2019-06-27,10,Політична партія “Голос”,"м. Київ, вул. Жилянська, буд. 75",39651598,10000000
Голос,гроші партії,2019-07-01,11,Політична партія “Голос”,"м. Київ, вул. Жилянська, буд. 75",39651598,7000000
Голос,гроші партії,2019-07-03,19,Політична партія “Голос”,"м. Київ, вул. Жилянська, буд. 75",39651598,5000000
Голос,гроші партії,2019-07-04,20,Політична партія “Голос”,"м. Київ, вул. Жилянська, буд. 75",39651598,11000000
Голос,гроші партії,2019-07-05,33,Політична партія “Голос”,"м. Київ, вул. Жилянська, буд. 75",39651598,11500000
Голос,гроші партії,2019-07-08,36,Політична партія “Голос”,"м. Київ, вул. Жилянська, буд. 75",39651598,6080000
Голос,гроші партії,2019-07-09,43,Політична партія “Голос”,"м. Київ, вул. Жилянська, буд. 75",39651598,7500000
Голос,гроші партії,2019-07-11,44,Політична партія “Голос”,"м. Київ, вул. Жилянська, буд. 75",39651598,12000000
Голос,гроші партії,2019-07-12,47,Політична партія “Голос”,"м. Київ, вул. Жилянська, буд. 75",39651598,5000000
Голос,гроші партії,2019-07-15,1248,Політична партія “Голос”,"м. Київ, вул. Жилянська, буд. 75",39651598,1609000
Голос,гроші партії,2019-07-15,50,Політична партія “Голос”,"м. Київ, вул. Жилянська, буд. 75",39651598,2000000
Голос,гроші партії,2019-07-17,55,Політична партія “Голос”,"м. Київ, вул. Жилянська, буд. 75",39651598,5000000
Голос,гроші партії,2019-07-18,60,Політична партія “Голос”,"м. Київ, вул. Жилянська, буд. 75",39651598,2000000
