Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара,Розшифровка коду витрат
Сила і Честь,211,1110,2019-06-27,1,"ТОВ ""Мега-поліграф""","м. Київ, вул. Марка Вовчка, буд. 12/14",32114278,"+;1110;виготовлення друкованих матеріалів передвиборної агітації(інформаційні бюлетені), згідно рах.№2314 від 27.06.19, у т.ч. ПДВ-357000,00грн.",2080800,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Сила і Честь,211,1320,2019-07-01,5,Підприємство Будинок профспілок ДООП,"м. Дніпро, просп. Дмитра Яворницького, буд. 93",23941567,"+;1320;оренда буд.і прим.усіх форм власн.для провед.публ.дискусій стос. полож.передвиб.програми та пол.діяльн.партії, зг.рах.від01.07.19 №1507, в т.ч.ПДВ1000грн",6000,юридична особа,"оренда будинків і приміщень усіх форм власності для проведення публічних дебатів, дискусій, &quot;круглих столів&quot;, прес-конференцій стосовно положень передвиборної програми та політичної діяльності партії – суб’єкта виборчого процесу чи політичної діяльності кандидата на пост Президента України, а також для виготовлення матеріалів передвиборної агітації"
Сила і Честь,211,1340,2019-07-01,4,Чернігівський обласний філармонійний центр,"м. Чернігів, просп. Миру, буд. 15",31275331,"+;1340;оренда буд. і прим. усіх форм власн. для проведення зборів громадян та інших зустрічей з виборцями, зг. рах. від 27.06.19 №19/074, в т.ч. ПДВ-2500 грн.",15000,юридична особа,оренда будинків і приміщень усіх форм власності для проведення зборів громадян та інших зустрічей з виборцями
Сила і Честь,211,1362,2019-07-01,3,Київська міська дирекція АТ Укрпошта,"м. Київ, вул. Хрещатик, буд. 22",01189979,"+;1362;послуги поштового зв'язку, з-но рах. від 01.07.2019 №111.11.1.3.-127, в т.ч. ПДВ-20947,00 грн.",125682,юридична особа,послуги поштового зв’язку
Сила і Честь,211,1362,2019-07-01,2,Київська міська дирекція АТ Укрпошта,"м. Київ, вул. Хрещатик, буд. 22",01189979,"+;1362;послуги поштового зв'язку,з-но рах. від 01.07.2019 №111.11.1.3-126, в т.ч. ПДВ-252558,71 грн.","1515352,28",юридична особа,послуги поштового зв’язку
Сила і Честь,211,1211,2019-07-02,16,"ОА ""ВГ ТРК ""Вінниччина""","м. Вінниця, вул. Театральна, буд. 15",31473359,"+;1211;Оплата ефірного часу на телебаченні  згідно рах.№СФ-0000149 від 01.07.2019, в т.ч. ПДВ-684,00грн.",4104,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1220,2019-07-02,13,"ТОВ ""Газета ""Наше місто""","м. Дніпро, вул. Старокозацька, буд. 58",19087191,"+;1220;Публікування агітаційних матеріалів у друкованих засобах масової інформації, згідно рах. №303 від 02.07.2019, в т.ч. ПДВ-825,00грн.",4950,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Сила і Честь,211,1211,2019-07-02,11,"Івано-Франківська міська ком.під.телерадіокомпанія ""Вежа""","м. Івано-Франківськ, вул. Галицька, буд. 22",30107672,"+;1211;Оплата ефірного часу на телебаченні, згідно рах. №190610 від 27 червня 2019, в.т.ч. ПДВ-950,00 грн.",5700,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-02,15,"ОА ""ВГ ТРК ""Вінниччина""","м. Вінниця, вул. Театральна, буд. 15",31473359,"+;1211;Оплата ефірного часу на телебаченні, згідно рах. №СФ-0000147 від 01.07.2019, в т.ч. ПДВ-1197,00грн.",7182,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-02,7,"ТОВ ""Телерадіокомпанія ""РАІ""","м. Івано-Франківськ, вул. Василіянок, буд. 15",36983355,"+;1211;Оплата ефірного часу на телебаченні, згідно  рах.№149 від 27 червня 2019, без ПДВ.",7200,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1220,2019-07-02,6,"ТОВ ""Редакція газети ""Репортер""","м. Івано-Франківськ, вул. Чорновола, буд. 99",31524848,"+;1220;Публікування агітаційних матеріалів у друкованих засобах масової інформації, згідно рах. №52 від 27 червня 2019, в т.ч. ПДВ-1311,20 грн.","7867,2",юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Сила і Честь,211,1211,2019-07-02,22,"ТОВ ""Телевізійна компанія ""Приват ТБ Дніпро""","м. Дніпро, вул. Небережна Перемоги, буд. 50",23376587,"+;1211;Оплата ефірного часу на телебаченні, згідно договору №ВР-4/6 від 02.07.2019, в т.ч. ПДВ-1440,00грн.",8640,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-02,10,"Дочірнє підприємство ""Телерадіокомпанія ""Стерх""","м. Дніпро, вул. Писаржевського, буд. 1А",24434223,"+;1211;Оплата ефірного часу на телебаченні, згідно рах.№СФ-07/07 від 02.07.2019,в т.ч. ПДВ-2100,00грн.",12600,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1120,2019-07-02,17,"ОА ""ВГ ТРК ""Вінниччина""","м. Вінниця, вул. Театральна, буд. 15",31473359,"+;1120;Виготовлення відеозаписів згідно рах. № СФ-0000148 від 01.07.2019, в т.ч. ПДВ-2100,00грн.",12600,юридична особа,виготовлення відеозаписів
Сила і Честь,211,1211,2019-07-02,14,"ПАТ""Телевізійна служба Дніпропетровськ","м. Дніпро, вул. Воскресенська, буд. 14",20264089,"+;1211;Оплата ефірного часу на телебаченні, згідно рах.№566 від 02.07.2019, в т.ч. ПДВ-2400,00грн.",14400,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-02,21,"ОА ""ВГ ТРК ""Вінниччина""","м. Вінниця, вул. Театральна, буд. 15",31473359,"+;1211;Оплата ефірного часу на телебаченні згідно рах.№СФ-0000151, від 01.07.2019, в т.ч. ПДВ-2850,00грн.",17100,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1220,2019-07-02,9,"ТОВ ""Видавничий дім ""Високий замок""","м. Львів, вул. Героїв УПА, буд. 65",13807781,"+;1220;Публікування агітаційних матеріалів у друкованих засобах масової інформації, згідно рах. №ВЗ-0000624 від 02.07.2019, в т.ч. ПДВ-3900,00 грн.",23400,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Сила і Честь,211,1120,2019-07-02,12,"ПАТ""Телевізійна служба Дніпропетровськ","м. Дніпро, вул. Воскресенська, буд. 14",20264089,"+;1120;Виготовлення відеозаписів, згідно рах. №565 від 02.07.2019, в т.ч. ПДВ-4053,33грн.",24320,юридична особа,виготовлення відеозаписів
Сила і Честь,211,1220,2019-07-02,18,"ТОВ ""Місто""","м. Вінниця, вул. Ширшова, буд. 3А",32833106,"+;1220;Опублікування агітаційних матеріалів у друкованих засобах масової інформації, згідно рах. №СФ-000064 від 02.07.2019, в т.ч. ПДВ-5901,62грн.","35409,7",юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Сила і Честь,211,1211,2019-07-02,20,"Міськ.ком.підпр.""Інф.-телев.аг-во""ВІТА","м. Вінниця, вул. Соборна, буд. 59",13341352,"+;1211;Оплата ефірного часу на телебаченні, згідно рах.№3 від 01.07.2019, в т.ч. ПДВ-5926,67грн.",35560,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1110,2019-07-02,19,"ТОВ ""Новий друк""","м. Київ, вул. Магнітогорська, буд. 1",22891092,"+;1110;Виготовлення друкованих матеріалів передвиборної агітації (агітаційниі буклети), згідно рах. № 19-1070 від 02.07.2019, в т.ч. ПДВ-43200,00грн.",259200,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
