Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара,Розшифровка коду витрат
Соціальна справедливість,221,1340,2019-07-11,7,Федерація професійних спілок Кіровоградської області,м. Кропивницький,02606119,Оплата за оренду зали для проведення виборчої компанії зг.договору №83-о/з від 10.07.2019,1008,юридична особа,оренда будинків і приміщень усіх форм власності для проведення зборів громадян та інших зустрічей з виборцями
Соціальна справедливість,221,1110,2019-07-11,8,"ПП ""Армас""",м. Київ,34937731,Оплата за виготовлення банера згідно договору №1107 від 11.07.2019,2700,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Соціальна справедливість,221,1110,2019-07-11,6,"ТОВ ""Новий друк""",м. Київ,22891092,оплата за друк буклету згідно договору №10/07/19-3,"4780,08",юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Соціальна справедливість,221,1350,2019-07-11,2,"ТОВ ""Енерджімедіа""",м. Київ,41193973,оплата за розміщення рекламних матеріалів згідно договору №123-19 від 10.07.2019,"40802,4",юридична особа,"розміщення друкованих агітаційних матеріалів чи політичної реклами на носіях зовнішньої реклами (білбордах, вивісках, сітілайтах тощо)"
Соціальна справедливість,221,1350,2019-07-11,3,"ТОВ ""Ліфтінфо""",м. Київ,36039645,оплата за розміщення рекламних матеріалів згідно договору № 5880 від 10.07.2019,"45054,36",юридична особа,"розміщення друкованих агітаційних матеріалів чи політичної реклами на носіях зовнішньої реклами (білбордах, вивісках, сітілайтах тощо)"
Соціальна справедливість,221,1110,2019-07-11,1,"ТОВ ""Новий друк""",м. Київ,22891092,Оплата за друк газет згідно договору № 10/07/19 від 10.07.2019,192500,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Соціальна справедливість,221,1340,2019-07-12,11,"ПрАТ ""Готель-Україна""",м. Чернігів,14219127,Оплата за оренду приміщення для передвиборної агітації зг.дог.№01/К3 від 12.07.2019,700,юридична особа,оренда будинків і приміщень усіх форм власності для проведення зборів громадян та інших зустрічей з виборцями
Соціальна справедливість,221,1120,2019-07-12,15,"ТОВ ""Телерадіоорганізація ""Ліга""",м. Чернігів,24834454,Оплата за виготовлення агітаційних відеоматеріалів зг.дог.№60-р/п від 11.07.2019,2000,юридична особа,виготовлення відеозаписів
Соціальна справедливість,221,1211,2019-07-12,16,"ТОВ ""Центральноукраїнське бюро новин""",м. Кропивницький,41956339,оплата ефірного часу на телебаченні згідно договору №12/07 від 12.07.2019,2700,юридична особа,оплата ефірного часу на телебаченні
Соціальна справедливість,221,1120,2019-07-12,13,"ТОВ ""Телерадіокомпанія ""Високий вал""",м. Чернігів,35385497,оплата за виготовлення відеоролика(передвиборча компанія) зг.дог.№11 від 12.07.2019,3000,юридична особа,виготовлення відеозаписів
